プログラムNo.2,,,,,,,,,,,,,,,
,層番号,材料番号,物質名,ML数,層厚[nm],比誘電率,有効質量,障壁の高さ,谷,分割数,NX,EF,仕事関数,電荷量,
,0,1,n-Si.Sub.,5,1.55,11.8,0.26,0,6,50,50,-0.09356,4.144,1.00E+18,
,1,24,3MLCaF2,3,0.93,6.76,1,1.5,1,30,80,0,0,0,
,2,7,i-Si,5,1.55,11.8,0.26,0,6,50,130,-0.56,0,0,
,3,24,3MLCaF2,3,0.93,6.76,1,1.5,1,30,160,0,0,0,
,4,7,i-Si,4,1.24,11.8,0.26,0,6,40,200,-0.56,0,0,
,5,24,3MLCaF2,3,0.93,6.76,1,1.5,1,30,230,0,0,0,
,6,7,i-Si,4,1.24,11.8,0.26,0,6,40,270,-0.56,0,0,
,7,24,3MLCaF2,3,0.93,6.76,1,1.5,1,30,300,0,0,0,
,8,7,i-Si,4,1.24,11.8,0.26,0,6,40,340,-0.56,0,0,
,9,24,3MLCaF2,3,0.93,6.76,1,1.5,1,30,370,0,0,0,
,10,7,i-Si,2,0.62,11.8,0.26,0,6,20,390,-0.56,0,0,
,11,24,3MLCaF2,4,0.93,6.76,1,1.5,1,30,420,0,0,0,
,12,7,i-Si,5,1.55,11.8,0.26,0,6,50,470,-0.56,0,0,
,13,22,CaF2(4ML),4,1.24,6.76,0.85,1.6,1,40,510,0,0,0,
,14,7,i-Si,3,0.93,11.8,0.26,0,6,30,540,-0.56,0,0,
,15,22,CaF2(4ML),4,1.24,6.76,0.85,1.6,1,40,580,0,0,0,
,16,7,i-Si,2,0.62,11.8,0.26,0,6,20,600,-0.56,0,0,
,17,22,CaF2(4ML),4,1.24,6.76,0.85,1.6,1,40,640,0,0,0,
,18,7,i-Si,2,0.62,11.8,0.26,0,6,20,660,-0.56,0,0,
,19,22,CaF2(4ML),4,1.24,6.76,0.85,1.6,1,40,700,0,0,0,
,20,7,i-Si,2,0.62,11.8,0.26,0,6,20,720,-0.56,0,0,
,21,22,CaF2(4ML),4,1.24,6.76,0.85,1.6,1,40,760,0,0,0,
,22,7,i-Si,2,0.62,11.8,0.26,0,6,20,780,-0.56,0,0,
